City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,port saint john's,-31.6229,29.5448,21.82,91,94,1.19,ZA,1682435288
214,aras-asan,8.8908,126.3033,26.18,82,31,1.35,PH,1682435289
215,sterling,39.0062,-77.4286,13.47,48,20,4.02,US,1682435001
216,edgewater,28.9889,-80.9023,26.69,80,3,3.09,US,1682435289
217,khandyga,62.6667,135.6,-7.08,98,89,1.02,RU,1682435290
218,tolanaro,-25.0319,46.9987,22.19,72,98,5.05,MG,1682435290
219,ilembula,-8.9,34.5833,21.26,77,22,3.43,TZ,1682435291
220,tranqueras,-31.2,-55.75,18.92,91,99,2.89,UY,1682435100
221,minas de marcona,-15.2119,-75.1103,20.71,64,9,5.97,PE,1682435291
222,argo,37.6333,22.7333,19.88,35,97,5.06,GR,1682435291
223,muisne,0.6,-80.0333,28.68,67,82,0.62,EC,1682435292
224,tremonton,41.7119,-112.1655,4.97,80,0,2.57,US,1682435292
225,sarangani,5.4033,125.4636,28.83,72,27,5.51,PH,1682435292
226,pembroke,45.8168,-77.1162,6.21,68,73,3.0,CA,1682435293
227,cooma,-36.2333,149.1333,7.38,88,2,0.31,AU,1682435293
228,enewetak,11.3474,162.3373,26.21,81,100,5.76,MH,1682435293
229,thompson,55.7435,-97.8558,-0.92,91,89,2.6,CA,1682435294
230,acapulco de juarez,16.8634,-99.8901,28.9,70,75,2.57,MX,1682435294
231,saurimo,-9.6608,20.3916,27.25,59,87,1.67,AO,1682435294
232,ust'-ilimsk,58.0006,102.6619,0.85,97,100,1.12,RU,1682435294
233,bani walid,31.7566,13.9942,30.98,14,1,3.61,LY,1682435294
234,manta,-0.95,-80.7333,29.88,66,20,2.06,EC,1682435295
235,flagstaff,35.1981,-111.6513,13.07,45,0,6.17,US,1682435162
236,cannonvale,-20.2833,148.7,23.66,67,16,8.95,AU,1682435295
237,marotta,43.764,13.1477,13.86,86,90,4.02,IT,1682435295
238,hirara,24.8,125.2833,22.85,83,97,6.16,JP,1682435296
239,labrador city,52.9463,-66.9114,5.93,70,100,3.0,CA,1682435296
240,skovorodino,53.9833,123.9167,-5.0,78,42,0.77,RU,1682435296
241,constantia,44.1833,28.65,16.38,86,100,5.95,RO,1682435240
242,ed damer,17.5928,33.9592,40.35,8,31,4.78,SD,1682435297
243,talpa de allende,20.3833,-104.8167,25.08,15,97,0.65,MX,1682435297
244,namibe,-15.1961,12.1522,25.84,67,18,3.72,AO,1682435297
245,janakkala,60.9,24.6,17.22,47,55,3.73,FI,1682435297
246,colonia,50.9333,6.95,12.76,45,20,5.66,DE,1682435265
247,gadzhiyevo,69.2551,33.3362,-0.2,75,11,7.58,RU,1682435298
248,nar'yan-mar,67.6713,53.087,-2.45,85,11,6.13,RU,1682435298
249,rampachodavaram,17.45,81.7667,27.95,70,40,2.08,IN,1682435240
250,pointe-noire,-4.7761,11.8635,28.34,78,95,4.56,CG,1682435298
251,haiku-pauwela,20.9219,-156.3051,22.25,83,100,2.06,US,1682435298
252,east ballina,-28.8667,153.5833,16.56,76,57,5.89,AU,1682435299
253,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,2.35,EC,1682435299
254,hamilton,39.1834,-84.5333,11.61,50,40,3.6,US,1682435043
255,tuy hoa,13.0833,109.3,25.22,91,52,2.13,VN,1682435220
256,at taj,24.2049,23.2857,34.95,11,2,7.27,LY,1682435300
257,verkhnevilyuysk,63.4453,120.3167,-6.65,98,100,1.03,RU,1682435300
258,shingu,33.7333,135.9833,17.01,93,100,6.45,JP,1682435300
259,zemio,5.0314,25.1361,32.09,42,100,1.29,CF,1682435300
260,nsunga,-1.1439,31.3947,21.91,87,100,0.86,TZ,1682435301
261,san luis de la loma,17.2706,-100.8939,27.08,65,100,1.29,MX,1682435301
262,nadym,65.5333,72.5167,-2.74,86,100,1.95,RU,1682435301
263,shenjiamen,29.9576,122.298,13.04,81,97,6.16,CN,1682435301
264,auki,-8.7676,160.7034,25.04,89,77,1.56,SB,1682435301
265,sambava,-14.2667,50.1667,27.01,85,33,1.55,MG,1682435302
266,kingscliff,-28.2667,153.5667,17.89,88,40,3.09,AU,1682435302
267,walvis bay,-22.9575,14.5053,20.05,62,35,8.62,NA,1682435302
268,francistown,-21.17,27.5079,32.49,19,4,3.15,BW,1682435302
269,zeya,53.75,127.2667,-2.95,68,66,2.26,RU,1682435302
270,san andres,12.5847,-81.7006,30.01,62,20,4.12,CO,1682435303
271,vilyuchinsk,52.9306,158.4028,-2.41,80,59,4.09,RU,1682435303
272,preobrazheniye,42.9019,133.9064,3.6,88,100,2.67,RU,1682435303
273,el bauga,18.262,33.9081,39.81,7,23,5.79,SD,1682435303
274,lompoc,34.6391,-120.4579,10.29,81,100,5.81,US,1682435304
275,antsiranana,-12.2787,49.2917,26.48,85,36,1.88,MG,1682435256
276,camacupa,-12.0167,17.4833,24.77,63,99,0.75,AO,1682435072
277,howrah,22.5892,88.3103,30.0,66,40,0.0,IN,1682435304
278,necochea,-38.5473,-58.7368,21.16,53,23,2.89,AR,1682435304
279,phalaborwa,-23.943,31.1411,31.35,27,5,3.85,ZA,1682435304
280,arkhipo-osipovka,44.37,38.52,11.91,80,26,2.25,RU,1682435305
281,pyrgos,37.6751,21.441,21.82,71,79,0.89,GR,1682435305
282,villa gesell,-37.2639,-56.973,21.14,76,100,2.34,AR,1682435305
283,kita,13.0349,-9.4895,42.84,9,2,1.62,ML,1682435305
284,porvoo,60.3923,25.6651,16.28,65,48,3.78,FI,1682435306
285,natal,-5.795,-35.2094,30.36,70,75,4.12,BR,1682435306
286,rolla,37.9514,-91.7713,14.57,50,0,3.09,US,1682435085
287,ilhabela,-23.7781,-45.3581,24.41,63,26,1.77,BR,1682435306
288,ketchikan,55.3422,-131.6461,4.26,87,75,1.54,US,1682435307
289,greenville,35.6127,-77.3663,18.41,45,0,3.6,US,1682435063
290,dwarka,22.2394,68.9678,27.37,81,99,8.33,IN,1682435307
291,geraldton,-28.7667,114.6,15.23,82,100,2.57,AU,1682435307
292,kuroiso,36.9667,140.05,10.32,85,100,4.48,JP,1682435307
293,nelidovo,56.2211,32.7774,16.97,41,82,2.62,RU,1682435307
294,horta,38.5333,-28.6333,18.34,92,75,6.26,PT,1682435308
295,brooks,50.5834,-111.8851,7.24,71,81,2.57,CA,1682435308
296,kununurra,-15.7667,128.7333,23.99,83,72,0.0,AU,1682435309
297,kristiansund,63.1115,7.732,4.03,87,75,3.09,NO,1682435309
298,beshkent,38.8214,65.6531,27.1,24,0,3.09,UZ,1682435309
299,alexandria,31.2156,29.9553,24.3,57,0,5.14,EG,1682435074
300,pozega,45.3403,17.6853,14.92,58,87,2.57,HR,1682435309
301,impfondo,1.6381,18.0667,30.22,56,94,0.2,CG,1682435310
302,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1682435310
303,pathein,16.7833,94.7333,28.08,74,24,4.44,MM,1682435310
304,lorengau,-2.0226,147.2712,27.83,80,43,3.06,PG,1682435310
305,caleta de carquin,-11.0925,-77.6267,24.83,75,81,3.03,PE,1682435311
306,sweetwater,25.7634,-80.3731,27.22,77,100,4.63,US,1682435312
307,palmer,42.1584,-72.3287,13.94,53,40,1.34,US,1682435313
308,alice springs,-23.7,133.8833,15.75,63,0,3.48,AU,1682435313
309,avanigadda,16.0215,80.9181,28.55,70,24,2.92,IN,1682435314
310,quelimane,-17.8786,36.8883,24.3,74,6,2.79,MZ,1682435314
311,quellon,-43.1167,-73.6167,10.14,93,100,0.0,CL,1682435315
312,sumbawa besar,-8.5,117.4333,23.99,93,100,1.95,ID,1682435315
313,daru,-9.0763,143.2092,26.48,88,100,5.21,PG,1682435316
314,pimenta bueno,-11.6725,-61.1936,29.05,72,59,0.66,BR,1682435316
315,el calafate,-50.3408,-72.2768,6.55,69,5,2.48,AR,1682435316
316,newman,37.3138,-121.0208,14.94,70,11,0.45,US,1682435317
317,emerald,-23.5333,148.1667,16.86,71,13,3.32,AU,1682435174
318,plastun,44.7561,136.2939,3.51,85,100,2.88,RU,1682435317
319,inhambane,-23.865,35.3833,24.11,74,0,3.68,MZ,1682435317
320,severobaykal'sk,55.65,109.3167,-5.0,82,82,2.6,RU,1682435317
321,kodinsk,58.6881,99.1844,-0.89,96,100,5.3,RU,1682435317
322,saint-leu,-21.15,55.2833,25.53,89,23,1.58,RE,1682435317
323,rovaniemi,66.5,25.7167,4.67,35,0,7.2,FI,1682435317
324,kandalaksha,67.162,32.4123,0.26,88,88,1.39,RU,1682435317
325,sitka,57.0531,-135.33,2.94,87,75,3.6,US,1682435318
326,yugorsk,61.3133,63.3319,9.96,81,22,4.13,RU,1682435318
327,timbuktu,16.7735,-3.0074,39.69,6,0,6.45,ML,1682435318
328,tianshui,34.5439,105.6897,11.62,58,0,2.89,CN,1682435318
329,afaahiti,-17.75,-149.2833,23.93,85,100,6.42,PF,1682435318
330,queenstown,-31.8976,26.8753,22.31,38,93,0.58,ZA,1682435318
331,mukalla,14.5425,49.1242,28.69,69,23,3.45,YE,1682435318
332,dauphin,51.1494,-100.0502,4.19,53,84,2.91,CA,1682435319
333,tulum,20.2167,-87.4667,29.23,59,10,3.71,MX,1682435319
334,cacule,-14.5033,-42.2222,29.86,38,16,4.08,BR,1682435319
335,konarka,19.9,86.1167,25.22,67,86,1.95,IN,1682435183
336,burang,30.25,81.1667,-3.63,89,59,1.48,CN,1682435319
337,pacific grove,36.6177,-121.9166,9.82,89,18,4.92,US,1682435114
338,jiangyou,31.7667,104.7167,17.15,67,98,0.28,CN,1682435319
339,broken hill,-31.95,141.4333,18.86,49,89,4.32,AU,1682435320
340,nis,43.7031,7.2661,25.88,43,0,10.29,FR,1682435320
341,smithers,54.7804,-127.1743,2.18,87,75,1.03,CA,1682435320
342,holualoa,19.6228,-155.9522,21.04,78,20,2.68,US,1682435258
343,paraiso,9.8383,-83.8656,24.42,76,13,1.21,CR,1682435320
344,bodo,67.28,14.405,5.25,39,20,6.69,NO,1682435320
345,polovinnoye,54.7914,65.9864,17.24,35,2,3.57,RU,1682435320
346,carlsbad,33.1581,-117.3506,16.08,83,100,2.57,US,1682435102
347,buga,3.9009,-76.2978,24.93,70,92,0.48,CO,1682435321
348,suva,-18.1416,178.4415,23.71,94,75,2.06,FJ,1682435170
349,revda,56.801,59.9303,13.68,56,37,2.35,RU,1682435321
350,yaguajay,22.3272,-79.2378,28.16,55,15,3.13,CU,1682435321
351,cold lake,54.4502,-110.2017,3.38,83,92,2.64,CA,1682435295
352,soe,-9.8607,124.284,19.0,94,51,1.26,ID,1682435321
353,guatire,10.4762,-66.5427,30.67,43,38,1.06,VE,1682435322
354,jinghong,21.991,100.7341,25.49,39,27,1.62,CN,1682435123
355,buy,58.4786,41.53,16.11,50,100,2.4,RU,1682435322
356,shchyolkino,45.4291,35.8223,13.03,69,18,7.96,UA,1682435322
357,chengde,40.9725,117.9361,5.02,19,0,2.17,CN,1682435322
358,shengli,37.4564,118.4856,11.54,55,6,5.14,CN,1682435322
359,allen,41.0706,-85.0144,7.88,77,100,2.06,US,1682435145
360,kusheriki,10.5328,6.4422,38.82,20,85,2.96,NG,1682435323
361,yelizovo,53.1873,158.3805,-2.04,84,75,2.76,RU,1682435323
362,qalat,32.1058,66.9083,22.65,17,80,3.77,AF,1682435323
363,ixtapa,20.7,-105.2,22.57,60,100,0.0,MX,1682435054
